iter	Passed	Remaining
0	182	912544
1	214	537185
2	246	411337
3	276	344790
4	307	307112
5	337	280954
6	375	268073
7	417	260528
8	458	254101
9	493	246040
10	531	240959
11	569	236797
12	602	230984
13	629	224324
14	663	220504
15	702	218683
16	740	217151
17	780	216016
18	817	214225
19	854	212721
20	896	212490
21	933	211256
22	973	210592
23	1009	209205
24	1045	208113
25	1083	207279
26	1119	206257
27	1156	205427
28	1193	204651
29	1231	204011
30	1266	202992
31	1299	201774
32	1332	200490
33	1366	199595
34	1404	199252
35	1439	198435
36	1471	197422
37	1505	196599
38	1537	195639
39	1571	194863
40	1604	194028
41	1632	192760
42	1660	191444
43	1688	190240
44	1717	189151
45	1753	188848
46	1787	188374
47	1824	188267
48	1857	187663
49	1887	186892
50	1921	186436
51	1955	186085
52	1989	185673
53	2023	185331
54	2057	185012
55	2089	184486
56	2127	184456
57	2160	184063
58	2192	183572
59	2219	182746
60	2247	181947
61	2275	181240
62	2307	180805
63	2341	180613
64	2375	180374
65	2408	180028
66	2444	179945
67	2479	179825
68	2512	179555
69	2549	179527
70	2583	179348
71	2619	179283
72	2655	179222
73	2689	179017
74	2719	178557
75	2746	177953
76	2773	177323
77	2799	176675
78	2837	176751
79	2871	176623
80	2915	177035
81	2951	177039
82	2987	176990
83	3021	176848
84	3056	176751
85	3088	176458
86	3120	176234
87	3159	176348
88	3194	176253
89	3226	176035
90	3255	175626
91	3282	175105
92	3307	174540
93	3342	174472
94	3380	174542
95	3416	174519
96	3454	174620
97	3490	174593
98	3528	174669
99	3567	174816
100	3634	176278
101	3670	176258
102	3715	176636
103	3752	176667
104	3783	176378
105	3810	175935
106	3841	175648
107	3872	175393
108	3910	175478
109	3969	176445
110	4027	177410
111	4081	178130
112	4123	178327
113	4163	178455
114	4203	178542
115	4241	178579
116	4283	178778
117	4312	178433
118	4344	178177
119	4371	177769
120	4401	177467
121	4435	177331
122	4476	177496
123	4514	177504
124	4551	177491
125	4588	177486
126	4636	177920
127	4674	177921
128	4710	177869
129	4745	177789
130	4784	177820
131	4820	177777
132	4861	177911
133	4914	178473
134	4953	178508
135	4981	178144
136	5018	178149
137	5055	178105
138	5089	177971
139	5122	177840
140	5156	177685
141	5195	177735
142	5239	177967
143	5278	178005
144	5312	177888
145	5349	177868
146	5384	177754
147	5415	177550
148	5452	177520
149	5486	177407
150	5521	177301
151	5553	177122
152	5581	176807
153	5611	176566
154	5640	176301
155	5675	176217
156	5717	176383
157	5755	176369
158	5789	176280
