iter	RMSE
0	3945.193011
1	3764.167127
2	3589.396318
3	3423.821755
4	3265.4432
5	3117.968599
6	2976.096968
7	2838.821515
8	2709.064108
9	2586.446509
10	2470.685073
11	2358.564688
12	2254.684691
13	2156.347655
14	2060.528413
15	1971.543389
16	1885.503902
17	1806.296477
18	1730.595081
19	1658.495017
20	1588.853129
21	1525.6982
22	1464.790984
23	1408.441425
24	1352.79801
25	1299.546734
26	1249.335632
27	1201.799604
28	1156.464227
29	1115.264614
30	1075.833257
31	1037.637414
32	1002.765779
33	969.5250634
34	936.8402932
35	907.9092344
36	879.6418775
37	853.5569659
38	827.7621209
39	803.7954445
40	782.3376911
41	760.7926824
42	740.6524585
43	722.278813
44	704.6540779
45	687.5554261
46	671.1868276
47	656.6426898
48	643.0369291
49	629.9201998
50	617.1121259
51	605.8606505
52	595.5771122
53	585.2594746
54	575.7337033
55	565.6572469
56	556.9074802
57	548.8129743
58	541.3424449
59	534.121231
60	527.2009514
61	521.1166796
62	514.7404304
63	508.7586624
64	503.1556203
65	497.6097249
66	492.361851
67	488.3716299
68	484.298368
69	480.162845
70	476.2201156
71	471.9113616
72	468.0430766
73	464.4187078
74	461.0795923
75	458.0438377
76	454.9384041
77	451.9491873
78	449.3762467
79	446.5778783
80	443.6341048
81	441.4298852
82	439.4674685
83	437.4072267
84	435.3506238
85	432.9626536
86	431.3024193
87	429.2533605
88	427.1063822
89	424.813759
90	423.1383755
91	421.6206632
92	420.0825512
93	418.9692815
94	417.3287227
95	415.9589473
96	414.3246115
97	412.9759744
98	411.5069902
99	410.1485726
100	409.1756931
101	407.7567426
102	406.7158616
103	405.3086151
104	404.257693
105	403.1106521
106	401.9461544
107	400.9451282
108	399.9227925
109	399.1601844
110	398.1383206
111	397.0403492
112	396.2492645
113	395.7039477
114	394.8571039
115	393.9036904
116	392.8059762
117	392.0007209
118	391.3136933
119	390.6422182
120	389.7053906
121	389.021446
122	388.3315731
123	387.5883054
124	386.839208
125	386.00385
126	385.4360487
127	384.6716193
128	384.1391813
129	383.5065897
130	382.871982
131	382.1716606
132	381.7035797
133	381.2454223
134	380.4853203
135	379.9301712
136	379.3593361
137	378.9925942
138	378.459591
139	377.8130624
140	377.4446912
141	377.2035109
142	376.7201241
143	375.9873962
144	375.3373768
145	374.8208196
146	374.5526008
147	374.0561287
148	373.6294797
149	373.2228986
150	372.8052747
151	372.2590404
152	371.9338
153	371.7204955
154	371.2837809
155	370.910057
156	370.2481251
157	369.8503156
158	369.6722435
159	369.2649475
160	368.8133131
161	368.4400578
162	368.2907035
163	367.8914035
164	367.58938
165	367.3183537
166	367.1164915
167	366.8064806
168	366.5870553
169	366.2509457
170	365.8458594
171	365.482504
172	365.1512256
173	364.8992856
174	364.610253
175	364.3934554
176	364.1570328
177	363.9765821
178	363.6096347
179	363.4082535
180	363.1965562
181	362.8323
182	362.606075
183	362.3326049
184	361.763675
185	361.4838775
186	361.1441077
187	360.587672
188	360.3531685
189	360.2079066
190	359.7326377
191	359.3756144
192	359.1820518
193	358.9920401
194	358.7931185
195	358.5306973
196	358.3450316
197	358.1124994
198	357.9166934
199	357.7738903
200	357.5868359
201	357.2899624
202	357.0355394
203	356.7098291
204	356.5928487
205	356.4075184
206	356.1586368
207	355.6926436
208	355.4586605
209	355.2383035
210	354.8906767
211	354.7210034
212	354.5062217
213	354.2803653
214	353.9786761
215	353.8233469
216	353.6009532
217	353.4258005
218	353.1030262
219	352.8931752
220	352.7449116
221	352.5900785
222	352.3932089
223	352.2104978
224	352.0573382
225	351.8460941
226	351.6811633
227	351.5727064
228	351.3457839
229	351.1460158
230	350.8510178
231	350.7437493
232	350.6260332
233	350.502141
234	350.3616171
235	350.0521752
236	349.9032886
