iter	RMSE
0	3638.071842
1	3335.111334
2	3064.785719
3	2821.387981
4	2611.254274
5	2424.948162
6	2256.003118
7	2109.434074
8	1980.257114
9	1869.741792
10	1770.730768
11	1684.997453
12	1610.449106
13	1548.548635
14	1492.534315
15	1447.322352
16	1368.493359
17	1288.334044
18	1223.448781
19	1162.551776
20	1107.869958
21	1060.078815
22	1022.303906
23	985.5291543
24	953.4382141
25	926.595675
26	900.4967354
27	880.9681791
28	862.6436774
29	846.0520326
30	829.0306927
31	817.6842711
32	796.4644024
33	776.751438
34	761.5798846
35	746.9484148
36	732.9328654
37	721.1663718
38	711.2701233
39	699.6933986
40	691.9553631
41	685.1918343
42	677.1862746
43	670.4711453
44	662.478664
45	655.6191563
46	649.6145672
47	644.4366122
48	640.0344403
49	635.9884456
50	631.6195336
51	627.95159
52	624.1820228
53	621.2751052
54	617.6819984
55	613.89458
56	611.9314598
57	608.8444163
58	605.3628873
59	602.9956692
60	599.284002
61	596.6099685
62	595.238396
63	593.5455912
64	590.9687116
65	588.8850702
66	586.502356
67	583.9364239
68	582.0471654
69	579.6800127
70	578.9015448
71	577.4570809
72	575.2092564
73	573.9218081
74	573.2143854
75	571.7417785
76	570.487885
77	567.3849401
78	564.6199122
79	562.9063038
80	561.3923047
81	559.1445703
82	557.7874782
83	556.8388489
84	555.5632287
85	554.1898196
86	553.0265594
87	552.0394618
88	551.0915608
89	550.4900004
90	549.3405363
91	548.6181221
92	547.675587
93	547.0583435
94	546.4324127
95	546.0187819
96	545.1666319
97	544.4228734
98	543.9017621
99	543.1943745
