iter	Passed	Remaining
0	30	3050
1	65	3200
2	95	3074
3	124	2982
4	153	2920
5	181	2843
6	208	2771
7	237	2732
8	270	2734
9	300	2708
10	331	2683
11	360	2645
12	390	2613
13	426	2621
14	457	2591
15	489	2570
16	522	2551
17	556	2534
18	587	2503
19	616	2465
20	647	2436
21	678	2405
22	709	2374
23	738	2339
24	765	2297
25	800	2277
26	834	2254
27	865	2226
28	928	2273
29	961	2243
30	991	2206
31	1018	2164
32	1044	2120
33	1078	2093
34	1115	2070
35	1148	2041
36	1182	2013
37	1216	1984
38	1248	1952
39	1280	1920
40	1313	1889
41	1345	1857
42	1410	1869
43	1464	1863
44	1510	1845
45	1553	1824
46	1585	1788
47	1622	1758
48	1656	1724
49	1692	1692
50	1729	1661
51	1761	1626
52	1794	1591
53	1821	1551
54	1849	1513
55	1879	1476
56	1915	1444
57	1941	1406
58	1971	1369
59	1998	1332
60	2027	1296
61	2053	1258
62	2078	1220
63	2108	1185
64	2137	1151
65	2168	1117
66	2194	1080
67	2225	1047
68	2255	1013
69	2282	978
70	2313	945
71	2341	910
72	2371	877
73	2400	843
74	2429	809
75	2459	776
76	2486	742
77	2515	709
78	2543	676
79	2572	643
80	2600	609
81	2628	577
82	2659	544
83	2692	512
84	2717	479
85	2747	447
86	2774	414
87	2801	382
88	2828	349
89	2858	317
90	2888	285
91	2915	253
92	2945	221
93	2974	189
94	3006	158
95	3032	126
96	3060	94
97	3090	63
98	3117	31
99	3142	0
